go_version,dragonfly_revision,mayfly_revision,cma_es_revision,benchmark,dimensions,budget,base_seed,optimizer,rank,run,seed,best_cost,function_evaluations,iterations,execution_seconds
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,20,20260846,2641.431656443759,20000,499,0.27524136
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,21,20260847,1680.0444897653838,20000,499,0.18837477
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,22,20260848,707.0980270210268,20000,499,0.221510153
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,23,20260849,1447.4411863453638,20000,499,0.238164378
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,24,20260850,1504.6259418101713,20000,499,0.270781255
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,25,20260851,2149.5398877799357,20000,499,0.206673773
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,26,20260852,1513.214423858707,20000,499,0.210174041
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,27,20260853,2441.2530929390073,20000,499,0.296556067
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,28,20260854,1446.1591773028576,20000,499,0.183969212
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,29,20260855,1675.0529441008046,20000,499,0.225154784
