source_hash,go_version,profile,problem,dimensions,iterations,population,archive_capacity,seed,fidelity_mode,archive_policy,config_json,archive_size,gd,igd,hypervolume_ratio,best_g,median_g,min_f1,max_f1,zdt3_segments,evaluations,iterations_completed,termination,run_recovered,profile_recovered
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,ZDT3,30,1000,100,100,3000,paper,paper_segments,"{""swarm"":{""seed"":3000,""boundary_method"":""wrap"",""fidelity_mode"":""paper"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""paper_segments"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",57,0.53496566143154123,0.56484905715394462,0.099072957231384873,2.4250457065861655,2.7280392267161351,0,0.85708978002620395,0,100100,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,ZDT3,30,1000,100,100,3001,paper,paper_segments,"{""swarm"":{""seed"":3001,""boundary_method"":""wrap"",""fidelity_mode"":""paper"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""paper_segments"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",63,0.61550130921191681,0.5610112441719205,0.11238817598332347,2.4406956766842569,2.7954083983078784,0,0.65208724892132097,0,100100,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,ZDT3,30,1000,100,100,3002,paper,paper_segments,"{""swarm"":{""seed"":3002,""boundary_method"":""wrap"",""fidelity_mode"":""paper"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""paper_segments"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",93,0.21041710420917073,0.22410460911524194,0.5491951925402514,1.5901245975582119,1.7487951303205498,0,0.85389768514938447,0,100100,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,ZDT3,30,1000,100,100,3003,paper,paper_segments,"{""swarm"":{""seed"":3003,""boundary_method"":""wrap"",""fidelity_mode"":""paper"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""paper_segments"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",69,0.66695693797791322,0.6057744460756741,0.081934137735704932,2.7703354933303626,2.8941624332840403,0,0.84934843835818152,0,100100,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,ZDT3,30,1000,100,100,3004,paper,paper_segments,"{""swarm"":{""seed"":3004,""boundary_method"":""wrap"",""fidelity_mode"":""paper"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""paper_segments"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",71,0.67393498493472948,0.56068809947013953,0.10588815630721427,2.6108833412361969,2.7948235459184185,0,0.86905914314546262,0,100100,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,matlab,ZDT1,30,1000,100,100,3000,matlab,matlab_density,"{""swarm"":{""seed"":3000,""boundary_method"":""wrap"",""fidelity_mode"":""matlab"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""matlab_density"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",72,1.7322975443973485,1.5209126078990656,0,3.2307982458111884,3.3518550589053442,0,0.79491244811768136,0,100000,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,matlab,ZDT1,30,1000,100,100,3001,matlab,matlab_density,"{""swarm"":{""seed"":3001,""boundary_method"":""wrap"",""fidelity_mode"":""matlab"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""matlab_density"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",59,1.3519178597597725,1.4785101873614648,0,2.7002351478264854,2.7888314021617595,0,0.89829096642060369,0,100000,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,matlab,ZDT1,30,1000,100,100,3002,matlab,matlab_density,"{""swarm"":{""seed"":3002,""boundary_method"":""wrap"",""fidelity_mode"":""matlab"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""matlab_density"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",73,1.2157741340366564,1.2930312967535409,0,2.5717698190280114,2.7749811678554286,0,0.39268428682782841,0,100000,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,matlab,ZDT1,30,1000,100,100,3003,matlab,matlab_density,"{""swarm"":{""seed"":3003,""boundary_method"":""wrap"",""fidelity_mode"":""matlab"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""matlab_density"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",38,0.96541450492669356,1.2286112470202541,0,2.392798442407118,2.4491912303368264,0,1,0,100000,1000,maximum_iterations,false,false
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,matlab,ZDT1,30,1000,100,100,3004,matlab,matlab_density,"{""swarm"":{""seed"":3004,""boundary_method"":""wrap"",""fidelity_mode"":""matlab"",""lower_bound"":0,""upper_bound"":1,""inertia_weight_start"":0.9,""inertia_weight_end"":0.4,""separation_weight"":-1,""alignment_weight"":-1,""cohesion_weight"":-1,""food_weight"":-1,""enemy_weight"":-1,""radius_initial_divisor"":4,""radius_growth"":2,""max_step_ratio"":0.1,""enemy_cutoff_fraction"":0.75,""levy_beta"":1.5,""levy_scale"":0.01,""problem_size"":30,""npop"":100,""max_iterations"":1000,""max_workers"":12,""use_levy_walk"":true,""enable_parallel"":false,""use_binary"":false},""archive_policy"":""matlab_density"",""beta"":4,""gamma"":2,""delta"":2,""archive_size"":100,""n_grid"":10}",30,0.93374423743375146,1.1561621365979753,0,2.2909933250528995,2.3777779629063733,0,0.50577450910583444,0,100000,1000,maximum_iterations,false,false
